[0 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 10 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[1 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[2 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[3 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[4 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[5 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[6 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[7 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[8 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[9 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[10 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[11 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[12 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[13 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[14 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[15 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[16 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[17 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 104 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[18 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[19 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[20 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[21 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[22 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[23 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[24 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[25 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[26 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[27 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[28 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[29 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[30 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
