[0 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 10 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[1 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 47 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[2 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 46 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[3 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 46 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[4 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[5 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 46 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[6 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 46 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[7 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[8 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[9 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[10 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 44 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[11 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[12 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 44 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[13 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[14 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[15 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[16 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 46 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[17 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 47 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[18 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 46 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[19 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[20 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[21 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[22 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[23 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 44 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
